Id,Name,Capital,SurfaceAreaKm2,PopulationMln,President,Currency
78,Indonesia,Jakarta,1904569,276.4,Joko Widodo,Indonesian Rupiah
79,Iran,Tehran,1648195,83.9,Hassan Rouhani,Iranian Rial
80,Iraq,Baghdad,438317,39.3,Barham Salih,Iraqi Dinar
81,Ireland,Dublin,70273,4.9,Michael D. Higgins,Euro
82,Israel,Jerusalem,20770,9.2,Reuven Rivlin,Israeli New Shekel
83,Italy,Rome,301340,60.3,Sergio Mattarella,Euro
84,Jamaica,Kingston,10991,2.9,Andrew Holness,Jamaican Dollar
85,Japan,Tokyo,377975,126,Naruhito,Japanese Yen
86,Jordan,Amman,89342,10.1,Abdullah II bin Al-Hussein,Jordanian Dinar
87,Kazakhstan,Nur-Sultan,2724900,18.8,Kassym-Jomart Tokayev,Kazakhstani Tenge
88,Kenya,Nairobi,580367,54,Uhuru Kenyatta,Kenyan Shilling
89,Kiribati,Tarawa Atoll,811,0.1,Taneti Maamau,Australian Dollar
90,Kosovo,Pristina,10908,1.8,Vjosa Osmani,Euro
91,Kuwait,Kuwait City,17818,4.3,Jaber Al-Ahmad Al-Sabah,Kuwaiti Dinar
92,Kyrgyzstan,Bishkek,199951,6.7,Sadyr Japarov,Kyrgyzstani Som
93,Laos,Vientiane,236800,7.4,Thongloun Sisoulith,Lao Kip
94,Latvia,Riga,64589,1.9,Egils Levits,Euro
95,Lebanon,Beirut,10452,6.8,Michel Aoun,Lebanese Pound
96,Lesotho,Maseru,30355,2.1,Moeketsi Majoro,Lesotho Loti
97,Liberia,Monrovia,111369,5.1,George Weah,Liberian Dollar
98,Libya,Tripoli,1759540,6.7,Abdul Hamid Dbeibeh,Libyan Dinar
99,Liechtenstein,Vaduz,160,0.04,Hans-Adam II,Swiss Franc
100,Lithuania,Vilnius,65300,2.8,Gitanas NausÄ—da,Euro
101,Luxembourg,Luxembourg,2586,0.6,Grand Duke Henri,Euro
102,Madagascar, Antananarivo,587041,27.4,Andry Rajoelina,Malagasy Ariary
103,Malawi,Lilongwe,118484,19.1,Lazarus Chakwera,Malawian Kwacha
104,Malaysia,Kuala Lumpur,330803,32.4,Abdul Hamid Bador,Malaysian Ringgit
105,Maldives,Male,298,0.5,Ibrahim Mohamed Solih,Maldivian Rufiyaa
106,Mali,Bamako,1240192,20.3,Bah N'Daw,West African CFA franc
107,Malta,Valletta,316,0.5,George Vella,Euro
108,Marshall Islands,Majuro,181,0.06,David Kabua,United States Dollar
109,Mauritania,Nouakchott,1030700,4.6,Mohamed Ould Ghazouani,Mauritanian Ouguiya
110,Mauritius,Port Louis,2040,1.3,Prithvirajsing Roopun,Mauritian Rupee
111,Mexico,Mexico City,1964375,126.2,AndrÃ©s Manuel LÃ³pez Obrador,Mexican Peso
112,Moldova,Chisinau,33846,2.6,Maia Sandu,Moldovan Leu
113,Monaco,Monte Carlo,2,0.04,Albert II of Monaco,Euro
114,Mongolia,Ulaanbaatar,1564116,3.3,Khaltmaagiin Battulga,Mongolian Tugrik
115,Montenegro,Podgorica,13812,0.6,Milo ÄukanoviÄ‡,Euro
116,Morocco,Rabat,446550,37.3,Mohammed VI,Moroccan Dirham
117,Mozambique,Maputo,801590,31.4,Philipe Nyusi,Mozambican Met
